220556, Ettevõtluse Arendamise Sihtasutus, 2020-03-30, "Wolves of Analytics OÜ", 35000.00, "Veebianalüütika analüüsi- ja nõustamisteenus"
211308, Kaitseliit, 2020-03-27, "Clarified Security OÜ", 39675.00, "Kaitseliidu liikmete infoportaali turvatestimine"
218797, SIHTASUTUS ERAMETSAKESKUS, 2020-03-30, "Tieto Estonia Aktsiaselts", 75360.00, "EMKIS infosüsteemi majutusteenuste ostmine"
214918, Majandus- ja Kommunikatsiooniministeerium, 2020-03-31, "Ruumab OÜ", 144480.00, "EHR-i elukondlike ehitiste ehitusaasta andmehõive"
219918, Tallinna Linnaplaneerimise Amet, 2020-04-01, "osaühing BPW Consulting", 150040.00, "TALLINNA PLANEERINGUTE REGISTRI PLANEERINGUTE OSA KASUTAJATUGI, HOOLDUS- JA ARENDUSTÖÖD"
199438, Riigi Kaitseinvesteeringute Keskus, 2020-04-01, "GuardTime OÜ", 2180000.00, "NATO Cyber Range WP2 - Automaatjuhtimissüsteem"
220443, E-riigi Akadeemia Sihtasutus, 2020-04-01, "Agile Development LLC", 40000.00, "Services of quality assessment of new modules (functions) of the Trembita system components (Ukraine)"
220380, E-riigi Akadeemia Sihtasutus, 2020-03-27, "LLC "Institute of Computer Technologies"", 58000.00, "Services on improvement of the information security system of the Trembita system (Ukraine)"
220274, Tallinna Keskkonna- ja Kommunaalamet, 2020-03-12, "OÜ ELIKO Tehnoloogia Arenduskeskus", 308472.00, "Tänavavalgustuse juhtimise tarkvara SmartELI hooldus- ja arendusteenuse tellimine"
219170, Tallinna Keskkonna- ja Kommunaalamet, 2020-03-11, "Cityntel OÜ", 35832.90, "Tänavavalgustuse juhtimise tarkvara Lumoflex City CMS hooldus- ja arendusteenuse tellimine"
221208, Tallinna Keskkonna- ja Kommunaalamet, 2020-03-27, "OSAÜHING PENTE TARKVARA", 22000.00, "IT tugiteenuse osutamine MicroStation keskkonnas töötavale teeregistri programmile „Tiit”"
219697, Sihtasutus Keskkonnainvesteeringute Keskus, 2020-04-02, "Osaühing Webware", 101400.00, "Dokumendihaldussüsteemi ost, juurutamine, andmete ületoomine, hooldus ja arendustööd"
220326, Aktsiaselts Eesti Post, 2020-04-07, "", , "Andmelao arendusressurss"
218821, Keskkonnaministeeriumi Infotehnoloogiakeskus, 2020-04-06, "DataFruit OÜ", 100000.00, "Analüüsitarkvara litsentside ostmine"
220101, Tallinna Linnakantselei, 2020-04-03, "Osaühing MS Ärisüsteemid", 947385.60, "Majandustarkvara SAP litsentside tugiteenus"
218649, Riigi Kaitseinvesteeringute Keskus, 2020-04-07, "Upmind OÜ", 138000.00, "GoPro arendus- ja hooldustööd"
215594, Elektrilevi OÜ, 2020-04-13, "", , "Elektrilevi OÜ operatiivjuhtimise sidesüsteemi haldusteenuse osutamine"
221957, Saue Vallavalitsus, 2020-04-09, "Piksel OÜ", 40000.00, "Saue valla haridusteenuste haldamise infosüsteemi ARNO arendustöö hankimine 2020. aastal"
218902, Majandus- ja Kommunikatsiooniministeerium, 2020-04-15, "Fitek EDI", 56000.00, "E-Veoselehe prototüübi valmistamine ja testimine"
216137, Tervise ja Heaolu Infosüsteemide Keskus, 2020-04-13, "OÜ Quretec", 197806.00, "Tervise Infosüsteemi andmeedastusstandardite loomise keskkond"
